Mes de defunción;Sexo;Edad;Total
junio;Ambos sexos;De 30 a 39 años;27
junio;Ambos sexos;De 40 a 44 años;33
junio;Ambos sexos;De 45 a 49 años;36
junio;Ambos sexos;De 50 a 54 años;40
junio;Ambos sexos;De 55 a 59 años;40
junio;Ambos sexos;De 60 a 64 años;26
junio;Ambos sexos;De 65 a 69 años;21
junio;Ambos sexos;De 70 a 74 años;25
junio;Ambos sexos;De 75 a 79 años;18
junio;Ambos sexos;De 80 a 84 años;17
junio;Ambos sexos;De 85 a 89 años;18
junio;Ambos sexos;De 90 a 94 años;6
junio;Ambos sexos;De 95 años y más;1
junio;Hombres;Todas las edades;255
junio;Hombres;Menores de 15 años;1
junio;Hombres;De 15 a 29 años;19
junio;Hombres;De 30 a 39 años;21
junio;Hombres;De 40 a 44 años;25
junio;Hombres;De 45 a 49 años;31
junio;Hombres;De 50 a 54 años;32
junio;Hombres;De 55 a 59 años;31
junio;Hombres;De 60 a 64 años;21
junio;Hombres;De 65 a 69 años;13
junio;Hombres;De 70 a 74 años;17
junio;Hombres;De 75 a 79 años;14
junio;Hombres;De 80 a 84 años;12
junio;Hombres;De 85 a 89 años;13
junio;Hombres;De 90 a 94 años;4
junio;Hombres;De 95 años y más;1
junio;Mujeres;Todas las edades;85
junio;Mujeres;Menores de 15 años;0
junio;Mujeres;De 15 a 29 años;12
junio;Mujeres;De 30 a 39 años;6
junio;Mujeres;De 40 a 44 años;8
junio;Mujeres;De 45 a 49 años;5
junio;Mujeres;De 50 a 54 años;8
junio;Mujeres;De 55 a 59 años;9
junio;Mujeres;De 60 a 64 años;5
junio;Mujeres;De 65 a 69 años;8
junio;Mujeres;De 70 a 74 años;8
junio;Mujeres;De 75 a 79 años;4
junio;Mujeres;De 80 a 84 años;5
junio;Mujeres;De 85 a 89 años;5
junio;Mujeres;De 90 a 94 años;2
junio;Mujeres;De 95 años y más;0
julio;Ambos sexos;Todas las edades;355
julio;Ambos sexos;Menores de 15 años;1
julio;Ambos sexos;De 15 a 29 años;35
julio;Ambos sexos;De 30 a 39 años;39
julio;Ambos sexos;De 40 a 44 años;41
julio;Ambos sexos;De 45 a 49 años;38
julio;Ambos sexos;De 50 a 54 años;29
julio;Ambos sexos;De 55 a 59 años;34
julio;Ambos sexos;De 60 a 64 años;22
julio;Ambos sexos;De 65 a 69 años;24
julio;Ambos sexos;De 70 a 74 años;31
julio;Ambos sexos;De 75 a 79 años;18
julio;Ambos sexos;De 80 a 84 años;24
julio;Ambos sexos;De 85 a 89 años;12
julio;Ambos sexos;De 90 a 94 años;6
julio;Ambos sexos;De 95 años y más;1
julio;Hombres;Todas las edades;273
julio;Hombres;Menores de 15 años;1
julio;Hombres;De 15 a 29 años;32
julio;Hombres;De 30 a 39 años;29
julio;Hombres;De 40 a 44 años;31
julio;Hombres;De 45 a 49 años;30
julio;Hombres;De 50 a 54 años;21
julio;Hombres;De 55 a 59 años;26
julio;Hombres;De 60 a 64 años;16
julio;Hombres;De 65 a 69 años;19
julio;Hombres;De 70 a 74 años;22
julio;Hombres;De 75 a 79 años;16
julio;Hombres;De 80 a 84 años;15
julio;Hombres;De 85 a 89 años;9
julio;Hombres;De 90 a 94 años;5
julio;Hombres;De 95 años y más;1
julio;Mujeres;Todas las edades;82
julio;Mujeres;Menores de 15 años;0
julio;Mujeres;De 15 a 29 años;3
julio;Mujeres;De 30 a 39 años;10
julio;Mujeres;De 40 a 44 años;10
