Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;05 Canarias;Ambos sexos;De 40 a 44 años;28
Total Nacional;05 Canarias;Ambos sexos;De 45 a 49 años;18
Total Nacional;05 Canarias;Ambos sexos;De 50 a 54 años;21
Total Nacional;05 Canarias;Ambos sexos;De 55 a 59 años;26
Total Nacional;05 Canarias;Ambos sexos;De 60 a 64 años;24
Total Nacional;05 Canarias;Ambos sexos;De 65 a 69 años;9
Total Nacional;05 Canarias;Ambos sexos;De 70 a 74 años;9
Total Nacional;05 Canarias;Ambos sexos;De 75 a 79 años;11
Total Nacional;05 Canarias;Ambos sexos;De 80 a 84 años;7
Total Nacional;05 Canarias;Ambos sexos;De 85 a 89 años;7
Total Nacional;05 Canarias;Ambos sexos;De 90 a 94 años;2
Total Nacional;05 Canarias;Ambos sexos;De 95 años y más;1
Total Nacional;05 Canarias;Hombres;Todas las edades;165
Total Nacional;05 Canarias;Hombres;Menores de 15 años;0
Total Nacional;05 Canarias;Hombres;De 15 a 29 años;18
Total Nacional;05 Canarias;Hombres;De 30 a 39 años;11
Total Nacional;05 Canarias;Hombres;De 40 a 44 años;22
Total Nacional;05 Canarias;Hombres;De 45 a 49 años;17
Total Nacional;05 Canarias;Hombres;De 50 a 54 años;16
Total Nacional;05 Canarias;Hombres;De 55 a 59 años;22
Total Nacional;05 Canarias;Hombres;De 60 a 64 años;18
Total Nacional;05 Canarias;Hombres;De 65 a 69 años;9
Total Nacional;05 Canarias;Hombres;De 70 a 74 años;8
Total Nacional;05 Canarias;Hombres;De 75 a 79 años;10
Total Nacional;05 Canarias;Hombres;De 80 a 84 años;7
Total Nacional;05 Canarias;Hombres;De 85 a 89 años;6
Total Nacional;05 Canarias;Hombres;De 90 a 94 años;1
Total Nacional;05 Canarias;Hombres;De 95 años y más;0
Total Nacional;05 Canarias;Mujeres;Todas las edades;32
Total Nacional;05 Canarias;Mujeres;Menores de 15 años;0
Total Nacional;05 Canarias;Mujeres;De 15 a 29 años;2
Total Nacional;05 Canarias;Mujeres;De 30 a 39 años;3
Total Nacional;05 Canarias;Mujeres;De 40 a 44 años;6
Total Nacional;05 Canarias;Mujeres;De 45 a 49 años;1
Total Nacional;05 Canarias;Mujeres;De 50 a 54 años;5
Total Nacional;05 Canarias;Mujeres;De 55 a 59 años;4
Total Nacional;05 Canarias;Mujeres;De 60 a 64 años;6
Total Nacional;05 Canarias;Mujeres;De 65 a 69 años;0
Total Nacional;05 Canarias;Mujeres;De 70 a 74 años;1
Total Nacional;05 Canarias;Mujeres;De 75 a 79 años;1
Total Nacional;05 Canarias;Mujeres;De 80 a 84 años;0
Total Nacional;05 Canarias;Mujeres;De 85 a 89 años;1
Total Nacional;05 Canarias;Mujeres;De 90 a 94 años;1
Total Nacional;05 Canarias;Mujeres;De 95 años y más;1
Total Nacional;06 Cantabria;Ambos sexos;Todas las edades;36
Total Nacional;06 Cantabria;Ambos sexos;Menores de 15 años;1
Total Nacional;06 Cantabria;Ambos sexos;De 15 a 29 años;4
Total Nacional;06 Cantabria;Ambos sexos;De 30 a 39 años;4
Total Nacional;06 Cantabria;Ambos sexos;De 40 a 44 años;0
Total Nacional;06 Cantabria;Ambos sexos;De 45 a 49 años;1
Total Nacional;06 Cantabria;Ambos sexos;De 50 a 54 años;9
Total Nacional;06 Cantabria;Ambos sexos;De 55 a 59 años;5
Total Nacional;06 Cantabria;Ambos sexos;De 60 a 64 años;3
Total Nacional;06 Cantabria;Ambos sexos;De 65 a 69 años;3
Total Nacional;06 Cantabria;Ambos sexos;De 70 a 74 años;4
Total Nacional;06 Cantabria;Ambos sexos;De 75 a 79 años;0
Total Nacional;06 Cantabria;Ambos sexos;De 80 a 84 años;2
Total Nacional;06 Cantabria;Ambos sexos;De 85 a 89 años;0
Total Nacional;06 Cantabria;Ambos sexos;De 90 a 94 años;0
Total Nacional;06 Cantabria;Ambos sexos;De 95 años y más;0
Total Nacional;06 Cantabria;Hombres;Todas las edades;25
Total Nacional;06 Cantabria;Hombres;Menores de 15 años;0
Total Nacional;06 Cantabria;Hombres;De 15 a 29 años;2
Total Nacional;06 Cantabria;Hombres;De 30 a 39 años;4
Total Nacional;06 Cantabria;Hombres;De 40 a 44 años;0
Total Nacional;06 Cantabria;Hombres;De 45 a 49 años;0
Total Nacional;06 Cantabria;Hombres;De 50 a 54 años;5
Total Nacional;06 Cantabria;Hombres;De 55 a 59 años;3
Total Nacional;06 Cantabria;Hombres;De 60 a 64 años;3
Total Nacional;06 Cantabria;Hombres;De 65 a 69 años;3
Total Nacional;06 Cantabria;Hombres;De 70 a 74 años;3
Total Nacional;06 Cantabria;Hombres;De 75 a 79 años;0
Total Nacional;06 Cantabria;Hombres;De 80 a 84 años;2
Total Nacional;06 Cantabria;Hombres;De 85 a 89 años;0
Total Nacional;06 Cantabria;Hombres;De 90 a 94 años;0
Total Nacional;06 Cantabria;Hombres;De 95 años y más;0
Total Nacional;06 Cantabria;Mujeres;Todas las edades;11
Total Nacional;06 Cantabria;Mujeres;Menores de 15 años;1
Total Nacional;06 Cantabria;Mujeres;De 15 a 29 años;2
Total Nacional;06 Cantabria;Mujeres;De 30 a 39 años;0
Total Nacional;06 Cantabria;Mujeres;De 40 a 44 años;0
Total Nacional;06 Cantabria;Mujeres;De 45 a 49 años;1
Total Nacional;06 Cantabria;Mujeres;De 50 a 54 años;4
Total Nacional;06 Cantabria;Mujeres;De 55 a 59 años;2
Total Nacional;06 Cantabria;Mujeres;De 60 a 64 años;0
Total Nacional;06 Cantabria;Mujeres;De 65 a 69 años;0
Total Nacional;06 Cantabria;Mujeres;De 70 a 74 años;1
Total Nacional;06 Cantabria;Mujeres;De 75 a 79 años;0
Total Nacional;06 Cantabria;Mujeres;De 80 a 84 años;0
Total Nacional;06 Cantabria;Mujeres;De 85 a 89 años;0
Total Nacional;06 Cantabria;Mujeres;De 90 a 94 años;0
Total Nacional;06 Cantabria;Mujeres;De 95 años y más;0
Total Nacional;07 Castilla y León;Ambos sexos;Todas las edades;218
Total Nacional;07 Castilla y León;Ambos sexos;Menores de 15 años;0
Total Nacional;07 Castilla y León;Ambos sexos;De 15 a 29 años;16
Total Nacional;07 Castilla y León;Ambos sexos;De 30 a 39 años;18
Total Nacional;07 Castilla y León;Ambos sexos;De 40 a 44 años;22
Total Nacional;07 Castilla y León;Ambos sexos;De 45 a 49 años;17
Total Nacional;07 Castilla y León;Ambos sexos;De 50 a 54 años;22
Total Nacional;07 Castilla y León;Ambos sexos;De 55 a 59 años;24
Total Nacional;07 Castilla y León;Ambos sexos;De 60 a 64 años;16
Total Nacional;07 Castilla y León;Ambos sexos;De 65 a 69 años;13
Total Nacional;07 Castilla y León;Ambos sexos;De 70 a 74 años;18
Total Nacional;07 Castilla y León;Ambos sexos;De 75 a 79 años;8
Total Nacional;07 Castilla y León;Ambos sexos;De 80 a 84 años;21
Total Nacional;07 Castilla y León;Ambos sexos;De 85 a 89 años;12
Total Nacional;07 Castilla y León;Ambos sexos;De 90 a 94 años;9
Total Nacional;07 Castilla y León;Ambos sexos;De 95 años y más;2
Total Nacional;07 Castilla y León;Hombres;Todas las edades;165
Total Nacional;07 Castilla y León;Hombres;Menores de 15 años;0
Total Nacional;07 Castilla y León;Hombres;De 15 a 29 años;10
Total Nacional;07 Castilla y León;Hombres;De 30 a 39 años;14
Total Nacional;07 Castilla y León;Hombres;De 40 a 44 años;14
Total Nacional;07 Castilla y León;Hombres;De 45 a 49 años;13
Total Nacional;07 Castilla y León;Hombres;De 50 a 54 años;15
Total Nacional;07 Castilla y León;Hombres;De 55 a 59 años;21
Total Nacional;07 Castilla y León;Hombres;De 60 a 64 años;8
Total Nacional;07 Castilla y León;Hombres;De 65 a 69 años;12
Total Nacional;07 Castilla y León;Hombres;De 70 a 74 años;15
Total Nacional;07 Castilla y León;Hombres;De 75 a 79 años;5
Total Nacional;07 Castilla y León;Hombres;De 80 a 84 años;18
Total Nacional;07 Castilla y León;Hombres;De 85 a 89 años;10
Total Nacional;07 Castilla y León;Hombres;De 90 a 94 años;8
Total Nacional;07 Castilla y León;Hombres;De 95 años y más;2
Total Nacional;07 Castilla y León;Mujeres;Todas las edades;53
Total Nacional;07 Castilla y León;Mujeres;Menores de 15 años;0
Total Nacional;07 Castilla y León;Mujeres;De 15 a 29 años;6
Total Nacional;07 Castilla y León;Mujeres;De 30 a 39 años;4
Total Nacional;07 Castilla y León;Mujeres;De 40 a 44 años;8
Total Nacional;07 Castilla y León;Mujeres;De 45 a 49 años;4
Total Nacional;07 Castilla y León;Mujeres;De 50 a 54 años;7
Total Nacional;07 Castilla y León;Mujeres;De 55 a 59 años;3
Total Nacional;07 Castilla y León;Mujeres;De 60 a 64 años;8
Total Nacional;07 Castilla y León;Mujeres;De 65 a 69 años;1
Total Nacional;07 Castilla y León;Mujeres;De 70 a 74 años;3
Total Nacional;07 Castilla y León;Mujeres;De 75 a 79 años;3
Total Nacional;07 Castilla y León;Mujeres;De 80 a 84 años;3
Total Nacional;07 Castilla y León;Mujeres;De 85 a 89 años;2
Total Nacional;07 Castilla y León;Mujeres;De 90 a 94 años;1
Total Nacional;07 Castilla y León;Mujeres;De 95 años y más;0
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Todas las edades;152
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Menores de 15 años;0
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 15 a 29 años;9
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 30 a 39 años;17
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 40 a 44 años;11
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 45 a 49 años;17
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 50 a 54 años;15
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 55 a 59 años;15
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 60 a 64 años;14
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 65 a 69 años;10
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 70 a 74 años;13
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 75 a 79 años;11
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 80 a 84 años;7
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 85 a 89 años;9
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 90 a 94 años;4
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 95 años y más;0
