Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;07 Castilla y León;Ambos sexos;De 95 años y más;2
Total Nacional;07 Castilla y León;Hombres;Todas las edades;158
Total Nacional;07 Castilla y León;Hombres;Menores de 15 años;0
Total Nacional;07 Castilla y León;Hombres;De 15 a 29 años;14
Total Nacional;07 Castilla y León;Hombres;De 30 a 39 años;7
Total Nacional;07 Castilla y León;Hombres;De 40 a 44 años;11
Total Nacional;07 Castilla y León;Hombres;De 45 a 49 años;13
Total Nacional;07 Castilla y León;Hombres;De 50 a 54 años;16
Total Nacional;07 Castilla y León;Hombres;De 55 a 59 años;15
Total Nacional;07 Castilla y León;Hombres;De 60 a 64 años;16
Total Nacional;07 Castilla y León;Hombres;De 65 a 69 años;13
Total Nacional;07 Castilla y León;Hombres;De 70 a 74 años;12
Total Nacional;07 Castilla y León;Hombres;De 75 a 79 años;11
Total Nacional;07 Castilla y León;Hombres;De 80 a 84 años;13
Total Nacional;07 Castilla y León;Hombres;De 85 a 89 años;11
Total Nacional;07 Castilla y León;Hombres;De 90 a 94 años;5
Total Nacional;07 Castilla y León;Hombres;De 95 años y más;1
Total Nacional;07 Castilla y León;Mujeres;Todas las edades;55
Total Nacional;07 Castilla y León;Mujeres;Menores de 15 años;0
Total Nacional;07 Castilla y León;Mujeres;De 15 a 29 años;4
Total Nacional;07 Castilla y León;Mujeres;De 30 a 39 años;5
Total Nacional;07 Castilla y León;Mujeres;De 40 a 44 años;5
Total Nacional;07 Castilla y León;Mujeres;De 45 a 49 años;8
Total Nacional;07 Castilla y León;Mujeres;De 50 a 54 años;3
Total Nacional;07 Castilla y León;Mujeres;De 55 a 59 años;10
Total Nacional;07 Castilla y León;Mujeres;De 60 a 64 años;1
Total Nacional;07 Castilla y León;Mujeres;De 65 a 69 años;4
Total Nacional;07 Castilla y León;Mujeres;De 70 a 74 años;5
Total Nacional;07 Castilla y León;Mujeres;De 75 a 79 años;1
Total Nacional;07 Castilla y León;Mujeres;De 80 a 84 años;3
Total Nacional;07 Castilla y León;Mujeres;De 85 a 89 años;3
Total Nacional;07 Castilla y León;Mujeres;De 90 a 94 años;2
Total Nacional;07 Castilla y León;Mujeres;De 95 años y más;1
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Todas las edades;132
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Menores de 15 años;0
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 15 a 29 años;8
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 30 a 39 años;13
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 40 a 44 años;15
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 45 a 49 años;11
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 50 a 54 años;13
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 55 a 59 años;13
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 60 a 64 años;10
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 65 a 69 años;7
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 70 a 74 años;3
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 75 a 79 años;10
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 80 a 84 años;12
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 85 a 89 años;7
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 90 a 94 años;9
Total Nacional;08 Castilla - La Mancha;Ambos sexos;De 95 años y más;1
Total Nacional;08 Castilla - La Mancha;Hombres;Todas las edades;94
Total Nacional;08 Castilla - La Mancha;Hombres;Menores de 15 años;0
Total Nacional;08 Castilla - La Mancha;Hombres;De 15 a 29 años;7
Total Nacional;08 Castilla - La Mancha;Hombres;De 30 a 39 años;10
Total Nacional;08 Castilla - La Mancha;Hombres;De 40 a 44 años;8
Total Nacional;08 Castilla - La Mancha;Hombres;De 45 a 49 años;8
Total Nacional;08 Castilla - La Mancha;Hombres;De 50 a 54 años;11
Total Nacional;08 Castilla - La Mancha;Hombres;De 55 a 59 años;10
Total Nacional;08 Castilla - La Mancha;Hombres;De 60 a 64 años;7
Total Nacional;08 Castilla - La Mancha;Hombres;De 65 a 69 años;7
Total Nacional;08 Castilla - La Mancha;Hombres;De 70 a 74 años;0
Total Nacional;08 Castilla - La Mancha;Hombres;De 75 a 79 años;8
Total Nacional;08 Castilla - La Mancha;Hombres;De 80 a 84 años;7
Total Nacional;08 Castilla - La Mancha;Hombres;De 85 a 89 años;5
Total Nacional;08 Castilla - La Mancha;Hombres;De 90 a 94 años;6
Total Nacional;08 Castilla - La Mancha;Hombres;De 95 años y más;0
