Mes de defunción;Sexo;Edad;Total
septiembre;Mujeres;De 30 a 39 años;16
septiembre;Mujeres;De 40 a 44 años;5
septiembre;Mujeres;De 45 a 49 años;6
septiembre;Mujeres;De 50 a 54 años;9
septiembre;Mujeres;De 55 a 59 años;6
septiembre;Mujeres;De 60 a 64 años;6
septiembre;Mujeres;De 65 a 69 años;5
septiembre;Mujeres;De 70 a 74 años;6
septiembre;Mujeres;De 75 a 79 años;5
septiembre;Mujeres;De 80 a 84 años;3
septiembre;Mujeres;De 85 a 89 años;4
septiembre;Mujeres;De 90 a 94 años;0
septiembre;Mujeres;De 95 años y más;0
octubre;Ambos sexos;Todas las edades;324
octubre;Ambos sexos;Menores de 15 años;0
octubre;Ambos sexos;De 15 a 29 años;31
octubre;Ambos sexos;De 30 a 39 años;32
octubre;Ambos sexos;De 40 a 44 años;32
octubre;Ambos sexos;De 45 a 49 años;28
octubre;Ambos sexos;De 50 a 54 años;38
octubre;Ambos sexos;De 55 a 59 años;35
octubre;Ambos sexos;De 60 a 64 años;27
octubre;Ambos sexos;De 65 a 69 años;29
octubre;Ambos sexos;De 70 a 74 años;13
octubre;Ambos sexos;De 75 a 79 años;25
octubre;Ambos sexos;De 80 a 84 años;19
octubre;Ambos sexos;De 85 a 89 años;10
octubre;Ambos sexos;De 90 a 94 años;5
octubre;Ambos sexos;De 95 años y más;0
octubre;Hombres;Todas las edades;244
octubre;Hombres;Menores de 15 años;0
octubre;Hombres;De 15 a 29 años;26
octubre;Hombres;De 30 a 39 años;25
octubre;Hombres;De 40 a 44 años;24
octubre;Hombres;De 45 a 49 años;20
octubre;Hombres;De 50 a 54 años;27
octubre;Hombres;De 55 a 59 años;26
octubre;Hombres;De 60 a 64 años;22
octubre;Hombres;De 65 a 69 años;21
octubre;Hombres;De 70 a 74 años;10
octubre;Hombres;De 75 a 79 años;20
octubre;Hombres;De 80 a 84 años;12
octubre;Hombres;De 85 a 89 años;7
octubre;Hombres;De 90 a 94 años;4
octubre;Hombres;De 95 años y más;0
octubre;Mujeres;Todas las edades;80
octubre;Mujeres;Menores de 15 años;0
octubre;Mujeres;De 15 a 29 años;5
octubre;Mujeres;De 30 a 39 años;7
octubre;Mujeres;De 40 a 44 años;8
octubre;Mujeres;De 45 a 49 años;8
octubre;Mujeres;De 50 a 54 años;11
octubre;Mujeres;De 55 a 59 años;9
octubre;Mujeres;De 60 a 64 años;5
octubre;Mujeres;De 65 a 69 años;8
octubre;Mujeres;De 70 a 74 años;3
octubre;Mujeres;De 75 a 79 años;5
octubre;Mujeres;De 80 a 84 años;7
octubre;Mujeres;De 85 a 89 años;3
octubre;Mujeres;De 90 a 94 años;1
octubre;Mujeres;De 95 años y más;0
noviembre;Ambos sexos;Todas las edades;303
noviembre;Ambos sexos;Menores de 15 años;2
noviembre;Ambos sexos;De 15 a 29 años;25
noviembre;Ambos sexos;De 30 a 39 años;31
noviembre;Ambos sexos;De 40 a 44 años;18
noviembre;Ambos sexos;De 45 a 49 años;31
noviembre;Ambos sexos;De 50 a 54 años;32
noviembre;Ambos sexos;De 55 a 59 años;29
noviembre;Ambos sexos;De 60 a 64 años;36
noviembre;Ambos sexos;De 65 a 69 años;27
noviembre;Ambos sexos;De 70 a 74 años;9
noviembre;Ambos sexos;De 75 a 79 años;26
noviembre;Ambos sexos;De 80 a 84 años;9
noviembre;Ambos sexos;De 85 a 89 años;16
noviembre;Ambos sexos;De 90 a 94 años;8
noviembre;Ambos sexos;De 95 años y más;4
noviembre;Hombres;Todas las edades;203
noviembre;Hombres;Menores de 15 años;1
noviembre;Hombres;De 15 a 29 años;13
noviembre;Hombres;De 30 a 39 años;19
noviembre;Hombres;De 40 a 44 años;15
noviembre;Hombres;De 45 a 49 años;20
noviembre;Hombres;De 50 a 54 años;24
noviembre;Hombres;De 55 a 59 años;16
noviembre;Hombres;De 60 a 64 años;26
noviembre;Hombres;De 65 a 69 años;15
noviembre;Hombres;De 70 a 74 años;5
noviembre;Hombres;De 75 a 79 años;21
noviembre;Hombres;De 80 a 84 años;5
noviembre;Hombres;De 85 a 89 años;11
noviembre;Hombres;De 90 a 94 años;8
noviembre;Hombres;De 95 años y más;4
noviembre;Mujeres;Todas las edades;100
noviembre;Mujeres;Menores de 15 años;1
noviembre;Mujeres;De 15 a 29 años;12
noviembre;Mujeres;De 30 a 39 años;12
noviembre;Mujeres;De 40 a 44 años;3
noviembre;Mujeres;De 45 a 49 años;11
noviembre;Mujeres;De 50 a 54 años;8
noviembre;Mujeres;De 55 a 59 años;13
noviembre;Mujeres;De 60 a 64 años;10
noviembre;Mujeres;De 65 a 69 años;12
noviembre;Mujeres;De 70 a 74 años;4
noviembre;Mujeres;De 75 a 79 años;5
noviembre;Mujeres;De 80 a 84 años;4
noviembre;Mujeres;De 85 a 89 años;5
noviembre;Mujeres;De 90 a 94 años;0
noviembre;Mujeres;De 95 años y más;0
diciembre;Ambos sexos;Todas las edades;284
diciembre;Ambos sexos;Menores de 15 años;0
diciembre;Ambos sexos;De 15 a 29 años;22
diciembre;Ambos sexos;De 30 a 39 años;39
diciembre;Ambos sexos;De 40 a 44 años;30
diciembre;Ambos sexos;De 45 a 49 años;39
diciembre;Ambos sexos;De 50 a 54 años;36
diciembre;Ambos sexos;De 55 a 59 años;29
diciembre;Ambos sexos;De 60 a 64 años;21
diciembre;Ambos sexos;De 65 a 69 años;12
diciembre;Ambos sexos;De 70 a 74 años;12
diciembre;Ambos sexos;De 75 a 79 años;19
diciembre;Ambos sexos;De 80 a 84 años;8
diciembre;Ambos sexos;De 85 a 89 años;12
diciembre;Ambos sexos;De 90 a 94 años;5
diciembre;Ambos sexos;De 95 años y más;0
diciembre;Hombres;Todas las edades;210
diciembre;Hombres;Menores de 15 años;0
diciembre;Hombres;De 15 a 29 años;14
diciembre;Hombres;De 30 a 39 años;33
diciembre;Hombres;De 40 a 44 años;21
diciembre;Hombres;De 45 a 49 años;31
diciembre;Hombres;De 50 a 54 años;26
diciembre;Hombres;De 55 a 59 años;21
diciembre;Hombres;De 60 a 64 años;15
diciembre;Hombres;De 65 a 69 años;8
diciembre;Hombres;De 70 a 74 años;9
diciembre;Hombres;De 75 a 79 años;13
diciembre;Hombres;De 80 a 84 años;6
diciembre;Hombres;De 85 a 89 años;10
diciembre;Hombres;De 90 a 94 años;3
diciembre;Hombres;De 95 años y más;0
diciembre;Mujeres;Todas las edades;74
diciembre;Mujeres;Menores de 15 años;0
diciembre;Mujeres;De 15 a 29 años;8
diciembre;Mujeres;De 30 a 39 años;6
diciembre;Mujeres;De 40 a 44 años;9
diciembre;Mujeres;De 45 a 49 años;8
diciembre;Mujeres;De 50 a 54 años;10
diciembre;Mujeres;De 55 a 59 años;8
diciembre;Mujeres;De 60 a 64 años;6
diciembre;Mujeres;De 65 a 69 años;4
diciembre;Mujeres;De 70 a 74 años;3
diciembre;Mujeres;De 75 a 79 años;6
diciembre;Mujeres;De 80 a 84 años;2
diciembre;Mujeres;De 85 a 89 años;2
diciembre;Mujeres;De 90 a 94 años;2
diciembre;Mujeres;De 95 años y más;0
